apno,aptype,issued,value
REP19-9499052,REPAIR,2019-11-09T00:00:00.000,1000
REP19-9499039,REPAIR,2019-11-08T00:00:00.000,19399
REP19-9498890,REPAIR,2019-11-06T00:00:00.000,15150
REP19-9498816,REPAIR,2019-11-04T00:00:00.000,11250
REP19-9498807,REPAIR,2019-11-04T00:00:00.000,2700
REP19-9498621,REPAIR,2019-10-30T00:00:00.000,8000
REP19-9498535,REPAIR,2019-10-29T00:00:00.000,1000
REP19-9498531,REPAIR,2019-10-28T00:00:00.000,13900
REP19-9498528,REPAIR,2019-10-28T00:00:00.000,8647
REP19-9498516,REPAIR,2019-10-28T00:00:00.000,10850
REP19-9498436,REPAIR,2019-10-25T00:00:00.000,14475
REP19-9498416,REPAIR,2019-10-24T00:00:00.000,1200
REP19-9498391,REPAIR,2019-10-24T00:00:00.000,11000
REP19-9498385,REPAIR,2019-10-24T00:00:00.000,11500
REP19-9498288,REPAIR,2019-10-22T00:00:00.000,4000
REP19-9498253,REPAIR,2019-10-22T00:00:00.000,13890
REP19-9498163,REPAIR,2019-10-21T00:00:00.000,16700
REP19-9497099,REPAIR,2019-10-18T00:00:00.000,14000
REP19-9497074,REPAIR,2019-10-18T00:00:00.000,17475
REP19-9497031,REPAIR,2019-10-17T00:00:00.000,6200
REP19-9496949,REPAIR,2019-10-16T00:00:00.000,4300
REP19-9496914,REPAIR,2019-10-15T00:00:00.000,15000
REP19-9496903,REPAIR,2019-10-15T00:00:00.000,16860
REP19-9496864,REPAIR,2019-10-15T00:00:00.000,13500
REP19-9496801,REPAIR,2019-10-14T00:00:00.000,4250
REP19-9496767,REPAIR,2019-10-11T00:00:00.000,23500
REP19-9496757,REPAIR,2019-10-11T00:00:00.000,15900
REP19-9496753,REPAIR,2019-10-11T00:00:00.000,12000
REP19-9496752,REPAIR,2019-10-11T00:00:00.000,10000
REP19-9496748,REPAIR,2019-10-11T00:00:00.000,6000
REP19-9496747,REPAIR,2019-10-11T00:00:00.000,11100
REP19-9496719,REPAIR,2019-10-11T00:00:00.000,19776
REP19-9496698,REPAIR,2019-10-10T00:00:00.000,6750
REP19-9496686,REPAIR,2019-10-10T00:00:00.000,8500
REP19-9496682,REPAIR,2019-10-11T00:00:00.000,1950
REP19-9496604,REPAIR,2019-10-09T00:00:00.000,11222
REP19-9496529,REPAIR,2019-10-08T00:00:00.000,17800
REP19-9496450,REPAIR,2019-10-07T00:00:00.000,3500
REP19-9496346,REPAIR,2019-10-03T00:00:00.000,5500
REP19-9496336,REPAIR,2019-11-01T00:00:00.000,25000
REP19-9496290,REPAIR,2019-10-02T00:00:00.000,8800
REP19-9496253,REPAIR,2019-10-23T00:00:00.000,15000
REP19-9496228,REPAIR,2019-10-01T00:00:00.000,5980
REP19-9496227,REPAIR,2019-10-01T00:00:00.000,2700
REP19-9496215,REPAIR,2019-10-01T00:00:00.000,3200
REP19-9496164,REPAIR,2019-09-30T00:00:00.000,2500
REP19-9496162,REPAIR,2019-09-30T00:00:00.000,13400
REP19-9496159,REPAIR,2019-09-30T00:00:00.000,19000
REP19-9496117,REPAIR,2019-09-27T00:00:00.000,12250
REP19-9496094,REPAIR,2019-09-27T00:00:00.000,4500
REP19-9495968,REPAIR,2019-10-03T00:00:00.000,2764
REP19-9493838,REPAIR,2019-09-30T00:00:00.000,38293
REP19-9491569,REPAIR,2019-09-27T00:00:00.000,22525
FEND19-9498678,FENDRIVE,2019-10-31T00:00:00.000,7000
FEND19-9496115,FENDRIVE,2019-09-27T00:00:00.000,9200
REP19-9496002,REPAIR,2019-09-26T00:00:00.000,16700
REP19-9495998,REPAIR,2019-09-26T00:00:00.000,6502
REP19-9494929,REPAIR,2019-09-25T00:00:00.000,5750
REP19-9494906,REPAIR,2019-09-24T00:00:00.000,5500
REP19-9494852,REPAIR,2019-09-24T00:00:00.000,9500
REP19-9491708,REPAIR,2019-09-24T00:00:00.000,17416
REP19-9488397,REPAIR,2019-09-24T00:00:00.000,8267
REP19-9493808,REPAIR,2019-09-23T00:00:00.000,16900
REP19-9487161,REPAIR,2019-09-20T00:00:00.000,15000
REP19-9491726,REPAIR,2019-09-19T00:00:00.000,58890
REP19-9491681,REPAIR,2019-09-19T00:00:00.000,4200
REP19-9491652,REPAIR,2019-09-18T00:00:00.000,300
REP19-9491607,REPAIR,2019-09-18T00:00:00.000,8833
REP19-9491578,REPAIR,2019-09-17T00:00:00.000,13200
REP19-9491550,REPAIR,2019-09-17T00:00:00.000,2000
REP19-9491539,REPAIR,2019-09-17T00:00:00.000,2000
REP19-9490451,REPAIR,2019-09-13T00:00:00.000,4500
REP19-9490434,REPAIR,2019-09-13T00:00:00.000,8255
REP19-9490433,REPAIR,2019-09-13T00:00:00.000,10833
REP19-9487340,REPAIR,2019-09-11T00:00:00.000,5000
REP19-9487336,REPAIR,2019-09-11T00:00:00.000,3200
REP19-9487294,REPAIR,2019-09-10T00:00:00.000,7000
REP19-9487279,REPAIR,2019-09-10T00:00:00.000,10000
REP19-9487118,REPAIR,2019-09-06T00:00:00.000,12866
REP19-9487116,REPAIR,2019-09-06T00:00:00.000,16800
REP19-9487115,REPAIR,2019-09-06T00:00:00.000,4100
REP19-9487114,REPAIR,2019-09-06T00:00:00.000,15780
REP19-9487100,REPAIR,2019-09-05T00:00:00.000,19500
